epoch,step,train-loss,train_BinaryAccuracy,train_BinaryF1Score,train_BinaryPrecision,train_BinaryRecall,val-loss,val_BinaryAccuracy,val_BinaryF1Score,val_BinaryPrecision,val_BinaryRecall
0,49,0.6533380150794983,0.6666666865348816,0.5,0.6666666865348816,0.4000000059604645,,,,,
1,99,0.5305058360099792,0.75,0.6666666865348816,0.75,0.6000000238418579,,,,,
2,149,0.364511638879776,0.8333333134651184,0.800000011920929,0.800000011920929,0.800000011920929,,,,,
2,199,0.3538075387477875,0.8333333134651184,0.800000011920929,1.0,0.6666666865348816,,,,,
3,249,0.09870656579732895,1.0,1.0,1.0,1.0,,,,,
4,299,0.34287843108177185,0.8333333134651184,0.8571428656578064,0.8571428656578064,0.8571428656578064,,,,,
4,299,,,,,,0.260151743888855,0.9100000262260437,0.8992616534233093,0.9433332681655884,0.872785747051239
