epoch,step,train-loss,train_BinaryAccuracy,train_BinaryF1Score,train_BinaryPrecision,train_BinaryRecall,val-loss,val_BinaryAccuracy,val_BinaryF1Score,val_BinaryPrecision,val_BinaryRecall
0,49,0.6065659523010254,0.9166666865348816,0.8571428656578064,1.0,0.75,,,,,
0,99,0.12527315318584442,1.0,1.0,1.0,1.0,,,,,
0,149,0.4054199159145355,0.75,0.5714285969734192,0.6666666865348816,0.5,,,,,
0,199,0.4186314642429352,0.8333333134651184,0.800000011920929,1.0,0.6666666865348816,,,,,
0,249,0.5939816832542419,0.5833333134651184,0.4444444477558136,0.6666666865348816,0.3333333432674408,,,,,
0,299,0.33318957686424255,0.8333333134651184,0.8333333134651184,1.0,0.7142857313156128,,,,,
0,299,,,,,,0.2226293385028839,0.8995000123977661,0.8840938806533813,0.9362452626228333,0.8592422604560852
0,349,0.018550710752606392,1.0,1.0,1.0,1.0,,,,,
0,399,0.14386026561260223,0.9166666865348816,0.9333333373069763,0.875,1.0,,,,,
0,449,0.07735106348991394,1.0,1.0,1.0,1.0,,,,,
0,499,0.2167690545320511,0.8333333134651184,0.875,1.0,0.7777777910232544,,,,,
0,549,0.41957440972328186,0.8333333134651184,0.75,0.75,0.75,,,,,
0,599,0.1634170264005661,0.9166666865348816,0.9230769276618958,1.0,0.8571428656578064,,,,,
0,599,,,,,,0.16296762228012085,0.9340000152587891,0.9307583570480347,0.9248514175415039,0.9485045075416565
0,649,0.47909119725227356,0.9166666865348816,0.9230769276618958,1.0,0.8571428656578064,,,,,
1,699,0.07953782379627228,0.9166666865348816,0.9333333373069763,0.875,1.0,,,,,
1,749,0.22051608562469482,0.8333333134651184,0.8333333134651184,1.0,0.7142857313156128,,,,,
1,799,0.12578268349170685,0.9166666865348816,0.9230769276618958,1.0,0.8571428656578064,,,,,
1,849,0.26137876510620117,0.8333333134651184,0.75,0.75,0.75,,,,,
1,899,0.09402525424957275,1.0,1.0,1.0,1.0,,,,,
1,899,,,,,,0.1469700038433075,0.9384999871253967,0.9360995292663574,0.926401674747467,0.957290530204773
1,949,0.010290211997926235,1.0,1.0,1.0,1.0,,,,,
1,999,0.012796477414667606,1.0,1.0,1.0,1.0,,,,,
1,1049,0.3417830765247345,0.9166666865348816,0.9090909361839294,0.8333333134651184,1.0,,,,,
1,1099,0.08470632880926132,1.0,1.0,1.0,1.0,,,,,
1,1149,0.013291910290718079,1.0,1.0,1.0,1.0,,,,,
1,1199,0.29094672203063965,0.8333333134651184,0.8333333134651184,1.0,0.7142857313156128,,,,,
1,1199,,,,,,0.19320566952228546,0.9254999756813049,0.915134608745575,0.9791999459266663,0.8714730739593506
1,1249,0.32442253828048706,0.8333333134651184,0.6666666865348816,1.0,0.5,,,,,
1,1299,0.06675507873296738,1.0,1.0,1.0,1.0,,,,,
2,1349,0.1327926069498062,0.9166666865348816,0.9230769276618958,1.0,0.8571428656578064,,,,,
2,1399,0.016016094014048576,1.0,1.0,1.0,1.0,,,,,
2,1449,0.03306194022297859,1.0,1.0,1.0,1.0,,,,,
2,1499,0.2422136664390564,0.9166666865348816,0.9090909361839294,0.8333333134651184,1.0,,,,,
2,1499,,,,,,0.12585991621017456,0.9465000033378601,0.9437939524650574,0.9375380873680115,0.9603047966957092
2,1549,0.013867138884961605,1.0,1.0,1.0,1.0,,,,,
2,1599,0.011408059857785702,1.0,1.0,1.0,1.0,,,,,
2,1649,0.029411680996418,1.0,1.0,1.0,1.0,,,,,
2,1699,0.0711841955780983,1.0,1.0,1.0,1.0,,,,,
2,1749,0.034580644220113754,1.0,1.0,1.0,1.0,,,,,
2,1799,0.018036361783742905,1.0,1.0,1.0,1.0,,,,,
2,1799,,,,,,0.1227257028222084,0.9484999775886536,0.9464242458343506,0.9425737857818604,0.9611619114875793
2,1849,0.0048166182823479176,1.0,1.0,1.0,1.0,,,,,
2,1899,0.2980661392211914,0.8333333134651184,0.8333333134651184,1.0,0.7142857313156128,,,,,
2,1949,0.16452671587467194,0.9166666865348816,0.9230769276618958,0.8571428656578064,1.0,,,,,
2,1999,0.060346055775880814,1.0,1.0,1.0,1.0,,,,,
